Price,Close,High,Low,Open,Volume
Ticker,YFI-USD,YFI-USD,YFI-USD,YFI-USD,YFI-USD
Date,,,,,
2022-05-08,15533.544921875,16447.701171875,15490.01953125,16402.5,69547035
2022-05-09,12564.73828125,15769.0,12564.73828125,15535.2841796875,153021540
2022-05-10,13746.5986328125,14724.6240234375,12384.20703125,12556.7578125,168131999
2022-05-11,11364.3798828125,14713.423828125,11354.439453125,13742.39453125,246622960
2022-05-12,9940.7412109375,11961.830078125,9536.392578125,11365.80859375,204942968
2022-05-13,9930.9521484375,11019.0224609375,9753.5654296875,9935.3271484375,124538870
2022-05-14,10263.4765625,10306.4140625,9601.04296875,9934.91015625,82679928
2022-05-15,10555.3642578125,10600.744140625,9862.34375,10262.9658203125,58706399
2022-05-16,9745.1904296875,10570.34765625,9701.6044921875,10555.8408203125,74570738
2022-05-17,9989.373046875,10380.09765625,9726.767578125,9748.1015625,73099969
2022-05-18,9104.9765625,10209.20703125,9103.6328125,9990.2216796875,86995504
2022-05-19,9514.318359375,9696.3408203125,8939.681640625,9108.16796875,63901515
2022-05-20,9201.8466796875,9864.173828125,9043.3798828125,9514.34765625,63153906
2022-05-21,9281.998046875,9398.119140625,8975.36328125,9201.083984375,71136967
2022-05-22,9498.5341796875,9656.4384765625,9174.744140625,9281.818359375,54775675
2022-05-23,8928.052734375,9770.5146484375,8894.9091796875,9496.2099609375,80833083
2022-05-24,9083.0693359375,9287.9912109375,8817.724609375,8927.49609375,58893872
2022-05-25,8514.126953125,9785.72265625,8235.873046875,9081.8212890625,196521650
2022-05-26,7787.73974609375,8672.427734375,7787.73974609375,8513.7109375,89290913
2022-05-27,7395.76611328125,7939.04150390625,7364.5048828125,7790.22509765625,86002047
2022-05-28,7634.16259765625,7702.0927734375,7355.2294921875,7582.39013671875,48158274
2022-05-29,7438.95654296875,7647.744140625,7391.6376953125,7634.42626953125,40885475
2022-05-30,8394.556640625,8440.1650390625,7398.28125,7438.85009765625,64428796
2022-05-31,8051.701171875,8482.0771484375,7910.8466796875,8392.5849609375,60867846
2022-06-01,7544.54248046875,8167.345703125,7378.75537109375,8052.513671875,47961809
2022-06-02,7575.2841796875,7595.22265625,7289.4697265625,7541.14111328125,38690634
2022-06-03,7435.302734375,7580.927734375,7164.28564453125,7574.80029296875,41543218
2022-06-04,7554.62060546875,7569.01171875,7311.0146484375,7435.48876953125,36647961
2022-06-05,7445.19140625,7603.14501953125,7332.01611328125,7555.5732421875,33099614
2022-06-06,7470.1025390625,7790.23583984375,7385.4521484375,7446.15771484375,40221838
2022-06-07,7606.0947265625,7789.7724609375,7167.59130859375,7469.83447265625,55590702
2022-06-08,7443.50341796875,7754.95068359375,7443.50341796875,7605.0234375,41373796
2022-06-09,7486.9482421875,7721.25537109375,7400.6630859375,7444.79052734375,53079171
2022-06-10,7060.927734375,7594.53466796875,7027.27734375,7486.0546875,47233301
2022-06-11,6352.97802734375,7122.7529296875,6296.33154296875,7061.88232421875,53490750
2022-06-12,6044.82958984375,6429.37939453125,5991.810546875,6353.6494140625,55692013
2022-06-13,4918.2099609375,6041.23779296875,4784.2353515625,6039.61279296875,93100520
2022-06-14,4909.0732421875,5079.0615234375,4524.7265625,4916.1904296875,69573857
2022-06-15,5330.26953125,5379.4306640625,4302.57470703125,4908.15478515625,96440043
2022-06-16,4594.56640625,5436.26611328125,4585.98876953125,5332.36767578125,48217540
2022-06-17,4805.5791015625,4903.9541015625,4578.4814453125,4595.50390625,31999247
2022-06-18,4384.9736328125,4862.43212890625,4069.142578125,4803.98681640625,46738450
2022-06-19,4732.7275390625,4819.31787109375,4166.8349609375,4383.8310546875,50564767
2022-06-20,4934.9140625,5015.05224609375,4551.99560546875,4733.4091796875,50355745
2022-06-21,5113.06396484375,5543.53759765625,4858.14208984375,4932.06201171875,57816294
2022-06-22,4993.15673828125,5295.83935546875,4979.77978515625,5116.994140625,44869873
2022-06-23,5439.04052734375,5439.95947265625,4957.93408203125,4992.984375,47371940
2022-06-24,7102.154296875,7884.02734375,5367.458984375,5436.75,377717587
2022-06-25,7054.87744140625,7289.5283203125,6608.37060546875,7102.06884765625,163447182
2022-06-26,6460.3935546875,7085.43115234375,6459.8935546875,7055.83447265625,68098439
2022-06-27,6222.716796875,6823.24267578125,6154.7666015625,6459.69384765625,61186009
2022-06-28,5621.66845703125,6271.48046875,5603.8037109375,6221.2724609375,51551255
2022-06-29,5575.33251953125,5802.978515625,5484.69677734375,5624.79736328125,56637620
2022-06-30,5388.357421875,5650.72119140625,5103.57177734375,5576.9765625,56981274
2022-07-01,5413.9775390625,5581.12353515625,5219.474609375,5396.76708984375,50758336
2022-07-02,6025.25146484375,6025.5654296875,5267.77734375,5420.333984375,63006308
2022-07-03,5799.46923828125,6025.92236328125,5552.28271484375,6025.92236328125,56730862
2022-07-04,6366.54833984375,6416.1982421875,5590.00537109375,5801.94775390625,73356606
2022-07-05,6152.93115234375,6444.1923828125,5982.44287109375,6365.9833984375,61081435
2022-07-06,6333.6025390625,6410.7607421875,6056.119140625,6154.05712890625,46355956
2022-07-07,6601.4638671875,6663.271484375,6190.68212890625,6333.6845703125,55733654
2022-07-08,6358.30908203125,6786.91015625,6336.0146484375,6601.01953125,57233017
2022-07-09,6497.89990234375,6523.9033203125,6338.33935546875,6356.3701171875,33994930
2022-07-10,6037.88037109375,6498.99951171875,5975.60009765625,6497.7021484375,42496956
2022-07-11,5503.04931640625,6037.4892578125,5488.169921875,6037.4892578125,43148844
2022-07-12,5464.1552734375,5740.93701171875,5462.5224609375,5505.11669921875,43990062
2022-07-13,5895.74609375,5910.4541015625,5350.333984375,5463.95556640625,56903631
2022-07-14,6011.50439453125,6125.2646484375,5676.4716796875,5898.01708984375,47097659
2022-07-15,6163.40185546875,6296.86669921875,5950.20068359375,6013.29638671875,45029282
2022-07-16,6259.01416015625,6353.95166015625,5948.69873046875,6163.76953125,42891689
2022-07-17,6073.42431640625,6378.44775390625,6064.080078125,6260.40869140625,45596669
2022-07-18,6610.1669921875,6645.17529296875,6074.640625,6074.640625,56323044
2022-07-19,6746.36669921875,6860.96337890625,6294.66064453125,6607.13037109375,69415298
2022-07-20,6488.78173828125,6997.14892578125,6401.0830078125,6747.06298828125,60843122
2022-07-21,6725.59765625,6826.90380859375,6260.4833984375,6490.9150390625,56958130
2022-07-22,6561.65771484375,6858.69873046875,6404.3115234375,6724.5849609375,51106750
2022-07-23,6503.61767578125,6814.5390625,6329.04052734375,6559.20361328125,50879143
2022-07-24,6986.24169921875,7378.10791015625,6495.23486328125,6501.79638671875,118973999
2022-07-25,6312.58447265625,7091.806640625,6311.80615234375,6985.7333984375,85274213
2022-07-26,6848.00439453125,6848.00439453125,6265.78173828125,6312.62646484375,109911268
2022-07-27,7159.76953125,7203.43896484375,6655.716796875,6848.25,82224510
2022-07-28,9135.1865234375,9680.9091796875,7055.77197265625,7161.28662109375,284186336
2022-07-29,10964.2861328125,11431.8876953125,8686.3310546875,9135.2041015625,334823291
2022-07-30,11719.1875,13903.4921875,10669.7177734375,10958.375,593265468
2022-07-31,10888.2431640625,12363.986328125,10798.6630859375,11720.1455078125,295085459
